session_id:token	item_id_list:token_seq	item_id:token
0	47202	41330
1	168	29303
2	18447 47202 47010 49329 2318	29486
3	45254 2665 37451 36950 3698 33119	5391
4	15746 16504 29376	30534
5	27668 32630 40994	47036
6	45881	7833
7	41552 21273 41287 5776	17528
8	24026 27927 14625 32769	3808
9	51191 40368 51287 20908 54140 10786	19915
10	23864 17014 53819 20917 19529 40694 929 40786 54140 20274 55652 46323 24846 6589 11103	3591
11	18467 24339 4614	8659
12	17031 31909	50742
13	42203	54636
14	7328	11887
15	41433	36175
16	53050	23858
17	21145	45527
18	53355 19508	46071
19	36745	1500
20	36184	27924
21	563 23054 14411 44882 50418 4426 49608 12408	20084
22	21928	53581
23	17474 41330	11121
24	20016 53586	46185
25	29920 7536 37189 6136 39745 44071 26394 2709 10229 48730 37583	26578
26	53829 41589 11849	6713
27	37401 9789 45835	12634
28	54408	53280
29	6895 16035 40294 1488 197 6980 4151	11662
30	1567 56129 50678 7458	40457
31	15573 27329	33627
32	23310 16302	53651
33	29870 10345 42588 21174	28992
34	28740	43909
35	4223 22522 18150	25721
36	30904 40783 14477 10562 52712	31370
37	31623	47122
38	45899 48680 11121 42565	55446
39	53629 42856 37971 23727	46240
40	1293	50926
41	3932	37964
42	50860 3808 45080 5450 10400 29472 24523	36883
43	15846 52458 43735 29440	35373
44	39780 11173	41966
45	12854 41598 29887 30984 34394	12880
46	479 4296	15682
47	20704	36920
48	15742	27139
49	24062 55174	12578
50	3642	12282
51	19457 35937	23300
52	41783	32531
53	55431 48045 18691 20856 1019 54072 14234 44901 5671 20084 3818 21072 46725 35205 3571 53206 17879 4473 7437 19247	5261
54	54380 51288 19650 6349	42044
55	9957 43145 48771 40160 10296	2950
56	31798	55652
57	50356 44460 39467 35498 52097 28260 47202	45318
58	29352 46240	39558
59	10094 17851 6050 1019 6584 54023 14798 45037 13559 52627	18371
60	54801 43803	3101
61	52354 17005	16444
62	54020 28271 51287	3207
63	52973 19240 46122 13066 19954 43226 17195 34068 29807	27000
64	10946 15531 14442 925	38904
65	43364 29579 1210 3927 11520 32637 39928	44438
66	10167	37039
67	36032 41552 32531 53819 56423	52223
68	17986 45097 6179	50081
69	5916 2986 3885	44745
70	41729	39661
71	47417 48118	12676
72	15985 24940	26982
73	24047 29473 2422	9348
74	43405	23112
75	4161	6258
76	17375 7457 19885	22104
77	5879	49896
78	46144 43172	9661
79	20593	42740
80	24436	50416
81	18151 17598 8909 35240 14273 21680 44933	8790
82	56907	31075
83	48357 260	8260
84	1653 34661	27730
85	20175 47464	45998
86	42565 28591	32896
87	20297 13691 56335 42669	52614
88	48247	13674
89	14958	18074
90	30948 656	40457
91	11733 41775 8596	13583
92	25230 42533 24243	10606
93	27875	56202
94	27801	8070
95	53581	52090
96	51862 37341 260 15699 3567	6991
97	13246 7701 949	54628
98	30967	47624
99	17480	50285
100	15649 53516 31227	54979
101	30276	52870
102	3755	27258
103	10167	2048
104	36355	30307
105	22165	20936
106	22443	20348
107	39059	20394
108	40624 48881	33220
109	3620 48127	9443
110	15819 7361 1151 25428	50166
111	5736 53025	55086
112	52308	49734
113	34692	55224
114	55585 48528 20174	12359
115	39465	10578
116	23376 44555 19192 25577 21710 5241	224
117	34973	41330
118	23785	11968
119	6179 55156	46275
120	42747 39785 49231 31805	48452
121	48112 43002 50165 2100	9024
122	41542 14856	46340
123	18679 10149 26990 2329 9445 38214 2931	50675
124	2482	25776
125	10541	32648
126	37717 47202	30328
127	1173 1523 40066 39341	41729
128	43439 21687 44983	52962
129	27499	18622
130	48162	4973
131	1827 42704 37642	40169
132	11490 27752 56427 11524	13230
133	3059	39609
134	35527	7430
135	16303	52733
136	3289 10218 29416 1940	26459
137	46540 30074 23512 27425 8964 3212 26754 6518 5701	6509
138	44901	53870
139	55302 34002 2826 28483 24141 10414 44288 13766	13070
140	47374 52501 7201	42409
141	28798 31613 49089	56823
142	11265	14799
143	8791	39535
144	15874	5164
145	8816 56245 8297	24716
146	39820	54718
147	28768 55502 11547 35027 34152 44882 22641	54330
148	42408	36287
149	39792	27347
150	10220	3092
151	3462 26104 16537 5484	4887
152	32187	43358
153	33366 6265 17690	23319
154	46072 27015 5130 18372 46248	47932
155	46014	4167
156	21242	40420
157	24017 45740 11957 38555 12522 28539	10804
158	52631	32602
159	2781 35801	4339
160	163 51191 1233 6179	21227
161	28770	45969
162	6179	28592
163	50507	20712
164	38200	20885
165	10254 47233 42643	51036
166	5449 8897	43178
167	46264 23627 19083 28740	43676
168	6179	15935
169	31818 24041 13854 28301	18495
170	55594	29443
171	46337 56536	36111
172	43293	41303
173	9398	12421
174	53972	31833
175	46963	35906
176	37603 42708 32567 48127 2961 32487	8583
177	36526	27927
178	23488 25480	8905
179	38958 52385	30612
180	15765 28117 260 5744 56114 20750 53870	13559
181	40396	49421
182	7005 166 16861 31726	9034
183	20380 8876 30606	9037
184	38082	24846
185	48713	42257
186	22543	24574
187	31382 49160	11473
188	13975	17512
189	41488	31539
190	19545	49400
191	45324	49772
192	40705	40571
193	53182 3743	35863
194	42669 18679 24705	39145
195	6117 17929 15383 5967	56967
196	33866 32079	9278
197	18933	35216
198	16758	30597
199	9054 49308 27625	56604
200	22974	25589
201	31384 32604	3489
202	47465	55004
203	24836 53863	41083
204	46570 14849 7005 36924 13591 3691 5175 26033 8421 19131 28995 31362	48477
205	2101 7167 53050 54914 3058 32909	21311
206	39518	18635
207	3548 46796 5671 30188	29870
208	14257 15567	41371
209	52649 1568	28172
210	35937	22763
211	29538 56770	20469
212	20093 25761	38312
213	50544	22365
214	25177	16349
215	25745 34345 28722 22911 5450 42772 21599	56466
216	37244 17102	17073
217	27350 34621	39945
218	27184 15691 12182 11060 2717	45214
219	7367	34025
220	23972	11345
221	34532 21500 35115 5377	55742
222	26562 55685	11817
223	23382	44983
224	19862 3123 15235	26428
225	42828	49115
226	5556 7916	393
227	44462	20098
228	15385 50178 51689	55631
229	22320	33509
230	16053 11507	26223
231	10891 26124	33356
232	53170 46599	2867
233	11524 10920 52590 55594 45164 53623 37733 45318	50170
234	15370	52839
235	7281	43308
236	26982 9694 31437 19263	51309
237	41741 50659	40590
238	54604 25003 17061 48368 10717	35290
239	31330	36019
240	56907	47413
241	50367	46949
242	56726	33305
243	39533 1347 2318 5027	260
244	1374 43371 41776 53337	50274
245	36865 23035 14483	5491
246	31294	39310
247	55627 51246 42737	36032
248	50408	51007
249	43084	6179
250	36751 42379 46989	33711
251	20218 4765 42811	40138
252	56617 40094	19782
253	6895	1766
254	35237 44080	35291
255	19977 4328 50866	2699
256	14168 28260 5361 55383 31133 13667 40612	32049
257	3674 31127	51350
258	32029	23582
259	23279	3818
260	19563 6628 36190 36246 33743	40777
261	33166 11241	25340
262	25833 52334 17060	56419
263	4897 10225 8224 4599 42848 22095 21524 7448 13091	52268
264	46167	29270
265	55729	47788
266	29921 21672	40903
267	6527 48707	30275
268	1575 9021 41456 34061 17934 7370 6179 22019 11536 47479	35616
269	15309	45943
270	50030 13098	5567
271	52102 6676 17426 27323 33984 12138	45416
272	22550 10560 20101 55582 16520 7234 24705	40706
273	32203	55
274	23542	30938
275	20856 54551 16861 51842 11006 5756 37336 33182 38785	3090
276	28410 32186	51082
277	54792	51785
278	5323	23471
279	32215	55165
280	17565	24439
281	29870 47139 49157 48630 55122 15577 24248	45031
282	35092 17252 50941 8395	1964
283	36283	23300
284	39150	14477
285	17463	1233
286	25053 26239 41089	38218
287	2758	47010
288	37642 19764 50614	16504
289	32064 23377	51
290	40818	9030
291	51939 3077	29031
292	2953	17703
293	24907	28740
294	10261 53857 40050 2048 6980 32032 20358 48962 22268 4734 25931 24089 39561 7173 49778 53739 56882 5030 26798 1432 53790 50530 32014 3711 32531 33872 43050 28282 11887	39780
295	47264	15985
296	53723	16576
297	39211	25233
298	21742	51821
299	13070 39487 43788	29988
300	40066 26312 8576 36185 26619 3459 56411	56550
301	29718 19482 54130 54371 33628 48730	53740
302	571 46075	54263
303	18244	30870
304	41796	2867
305	44066	11661
306	8992	30755
307	41246	1233
308	14857	38181
309	12583 41991 826 2108 18228	11457
310	52586	641
311	5032 17033 6980	12252
312	47209	38012
313	13027	41416
314	40066	50856
315	54068 22162 56050 53972 39183 54193 30760 26155 28630	3088
316	35651 24607	25695
317	26484 21849	15330
318	50	25298
319	42611 48127	727
320	22670 36006 27195 20175 45899 31909 37267 14149 31114 23987 44460 44983 33732 14151 14490 27495 53619 24553 47782 41711 18729 6722	27008
321	8952	27140
322	11650 36363 19211 48758 7686 40356 16222 45071 19675 16699 5359 37919 44795 7642 53984 51442 12347 37246 46463 47786 8224 31868 12675 11069	9680
323	22520	11367
324	39940 37994	49606
325	7773	23310
326	48607	17383
327	53742	30873
328	7522	33910
329	37711	29027
330	1178	33538
331	20597	18856
332	42424	23014
333	5743 51261	5473
334	6962	12183
335	55594	7107
336	22345 10786	28354
337	53389 49752 53651	3286
338	47412 16562 20611 23868 1378 584 6628 49338	55520
339	42891	54446
340	24017 52913 36180 33608	38171
341	16467	49092
342	30526	32988
343	16176	51842
344	9250 18104 14905	1473
345	2362	49723
346	45809 7403 10882 38043 28858	31854
347	28538 37725 52997 33949	34350
348	29973 23119	17277
349	51417	53445
350	36725	5721
351	49752	12957
352	2502 41147 10507 36472 3123	35895
353	36556	37361
354	26110 55039 21538 24103 37056	11943
355	24703	53933
356	35475	2624
357	9680 12281 22474 43405	13211
358	42970 49897 56385 4188 23486 21899 6134 25959 15779	3513
359	9411	88
360	7437	55968
361	23896 20260	20104
362	13617	8770
363	36811	5335
364	49758 43426 52927 39464	35045
365	51778 7662	35027
366	998 49034 55643 36727 27587 29922 6418	36184
367	39318 3808 13135 54229	6418
368	46495 17317 42027 33929 42565 3857 55465 55631 49022 31624 41246 39852 22309 33182	43473
369	50765 48129	8325
370	42507 51507 56254	8955
371	8740	13663
372	42029 9868 47518 20092	32813
373	34578	7201
374	56565	31651
375	14227	4049
376	8564 41595 56920	39840
377	47091 14084	55631
378	56417	4929
379	52309 27329	54260
380	11794 33552	52580
381	52523 44716 16766 42252	6497
382	12760 38945	10794
383	10970	7720
384	36786 14268	14142
385	15165 30107 7434 9763 31709	36606
386	19403 5843 34554	53972
387	50085 949 15165 26302 1233	32265
388	49084 19656	15105
389	24529	23100
390	56963	9408
391	32897 48607	47007
392	10242 26120 35384	28851
393	41803 15804 5419 17014	21680
394	22974	53765
395	53963 54140	1589
396	35344	20175
397	15356 55669	8489
398	12282	21502
399	26680	53144
400	40457	20602
401	12075 54140 50991	27173
402	4268 43788 43658	23658
403	11336	48300
404	51383 29105	33623
405	48206 23228	42210
406	10804	48129
407	34497 53933	45925
408	6286	51283
409	48882 12592	6179
410	56402 54014	24956
411	9180 11242	39046
412	33798 46879	11662
413	2750	35344
414	22648	42063
415	22516 44901	47463
416	38630 18350 56031 38300 36090 19003 43167 51594	25994
417	11968	7686
418	9531	17614
419	7982 18617 56585	7088
420	49961 25757 16743 35614	14762
421	31090	22792
422	30612 16744 24993	8549
423	20856 26991 4556	38500
424	4838	16349
425	49724	3165
426	5449	54486
427	38408	38338
428	37916 43605 17418 52813 19260 42389	20388
429	46634	52586
430	2471 19016 53972	45213
431	13076 1002 26127 15440	28805
432	35054 55863 51398 12544 14234 43463 32531 25124 31804 24516 52678 40068 44067 38080 27519	8885
433	35623	32755
434	39094	54006
435	3494	12571
436	47319	427
437	13046 11378	23102
438	25696	37013
439	38727 8998	43278
440	7791 4268 43909	18738
441	1713 3320 31583 27578	30189
442	3960 24560 17704 12433 10167 14864	7413
443	22116 7791 36396	32231
444	28936 41530 20692 22937 3947 16907 27651 48626 43050 16054	26067
445	49300 3289 12282	4114
446	48508 35872	29395
447	39669 10167 22136	27468
448	23160 6976 21114	42778
449	47494 26391 3545 18996 21883 6179	9054
450	35634	50257
451	53400 23029 13283 23158 44890	27308
452	49942	50646
453	2986 30332	9633
454	31833	20253
455	1262	47753
456	23831	10929
457	13259 53660 52721 42285 267 46609 39325 4436 15588 12061 6428 39928 56628 51709 29471 36640 28023 45835	50530
458	6953	27909
459	23488 29451 9412 39913 40934 16045	37741
460	10112	44546
461	42545 14228 37000 28285 51588	35987
462	52504	47466
463	17950	52781
464	19893 43568	47364
465	3030	5859
466	1225 2201 49612	10948
467	34790	42553
468	44700	47920
469	12952 13835 55551	28186
470	52156	15165
471	38584 10665 56221 17020 38752 24342 44994 31100 54231 55042 51810 8546 30461 32738 4426 43358 42565 4048	54964
472	8700	37221
473	42292	37332
474	29393 37739	48548
475	31389	27083
476	56902	16789
477	4983 25128	41456
478	28156 28740 23515 7417 21743 14091 53712 44450 40160 33819 18173 11968	10221
479	17359 27367 55852 49769 39827	51978
480	19062	55223
481	44114	11520
482	49778 45886 7167 31909 9061 32531 3605 20175 32187 40509 23878 2991 42565 28238 55436 55223 56451 11475 14499 53550 11070 50821 43306	39885
483	9839 37166	9242
484	54108 24562 8188 47099 38145 30100 31461 34288	7210
485	48396 19763 19432	38347
486	34579 31236 53833	25132
487	17195 23873 26356 13579 40420 41957 35875 37642 30473 21311 42029 18651	56075
488	53790 30183 32373 25677 1432 48279 10805	36357
489	39808	11354
490	44790	34699
491	3293	25224
492	7167 30537 39885 36214 24849 4627	6931
493	10905 24308	20413
494	51841	52416
495	32887 30541 55495	43471
496	36270	19029
497	37321 33404 50035 15741 21367 36931 44888 56603 27771 11059 17350 7293 4268 14709 1563 7436 30991 9538	43303
498	13862 949 33327 8904 9808 13516 37670 20189 19952 35950 51778 30190 53458 356 32133 7597 26463	42977
